folio,pagoMontoEsperado,pagoMontoRecibido,montoFijadoPagado,montoEsperadoPagado,folio,precio,anticipo,semanal,total
174,5838.7,399.5,5838.7,5838.7,27,3799.0,399.5,209.2,5838.7
175,9169.0,999.0,9169.0,8540.52,27,5299.0,999.0,314.23,9169.0
176,7449.0,999.0,7449.0,7449.0,16,5299.0,999.0,430.0,7449.0
179,7449.0,999.0,7449.0,7449.0,16,5299.0,999.0,430.0,7449.0
180,7699.0,799.0,7699.0,5131.69,44,3799.0,799.0,160.47,7699.0
181,10889.0,999.0,10889.0,7209.0,44,5299.0,999.0,230.0,10889.0
182,8824.0,1249.0,8824.0,8824.0,16,6299.0,1249.0,505.0,8824.0
183,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
184,6309.0,799.0,6309.0,6309.0,27,3699.0,799.0,211.92,6309.0
185,7099.0,799.0,7099.0,6019.0,36,3799.0,799.0,180.0,7099.0
186,10804.0,1249.0,10804.0,8620.0,36,5799.0,1249.0,273.0,10804.0
187,6499.0,799.0,6499.0,6499.0,27,3799.0,799.0,219.23,6499.0
188,7449.0,999.0,7449.0,7449.0,16,5299.0,999.0,430.0,7449.0
189,6499.0,799.0,6499.0,6499.0,27,3799.0,799.0,219.23,6499.0
191,6499.0,0.0,6499.0,6499.0,21,6499.0,0.0,324.95,6499.0
192,3700.0,400.0,3700.0,3700.0,21,3700.0,400.0,165.0,3700.0
193,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
194,3799.0,399.5,3799.0,3799.0,21,3799.0,399.5,169.98,3799.0
195,5498.75,399.5,5498.75,5498.75,16,3799.0,399.5,339.95,5498.75
197,7699.0,799.0,7699.0,5773.57,44,3799.0,799.0,160.47,7699.0
198,5299.0,799.0,5299.0,5299.0,16,3799.0,799.0,300.0,5299.0
199,6178.650000000001,399.5,6178.650000000001,4565.900000000001,44,3799.0,399.5,134.4,6178.65
205,7099.0,799.0,7099.0,6199.0,36,3799.0,799.0,180.0,7099.0
207,8299.0,999.5,8299.0,8299.0,21,8299.0,999.5,364.98,8299.0
209,5498.75,399.5,5498.75,5498.75,16,3799.0,399.5,339.95,5498.75
212,12274.0,1249.0,12274.0,11644.0,36,6499.0,1249.0,315.0,12274.0
213,10889.0,999.0,10889.0,8589.0,44,5299.0,999.0,230.0,10889.0
214,10889.0,999.0,10889.0,8589.0,44,5299.0,999.0,230.0,10889.0
215,6599.0,624.5,6599.0,6599.0,21,6599.0,624.5,298.73,6599.0
216,7449.0,999.0,7449.0,7449.0,16,5299.0,999.0,430.0,7449.0
217,7099.0,799.0,7099.0,6559.0,36,3799.0,799.0,180.0,7099.0
219,7599.0,1000.0,7599.0,6831.86,44,7599.0,1000.0,153.47,7599.0
220,10889.0,999.0,10889.0,9509.0,44,5299.0,999.0,230.0,10889.0
221,13409.000000000002,999.0,13409.000000000002,11388.6,44,8299.0,999.0,288.6,13409.0
222,7099.0,799.0,7099.0,7099.0,36,3799.0,799.0,180.0,7099.0
223,9169.0,999.0,9169.0,9169.0,27,5299.0,999.0,314.23,9169.0
224,5299.0,999.0,5299.0,5299.0,21,5299.0,999.0,215.0,5299.0
228,6499.0,750.0,6499.0,6499.0,21,6499.0,750.0,287.45,6499.0
231,15229.0,2499.0,15229.0,15229.0,27,9199.0,2499.0,489.62,15229.0
233,9199.0,1249.0,9199.0,9199.0,21,9199.0,1249.0,397.5,9199.0
